              DRT4 Data File V2.0
============================================================
1) Subject Information
Subject Name:  
Subject No:  
Date of Birth:  
Subject Address:  
Operator:   
Date: 11:05:31 (30/4/2012) 
DRT4 Serial Number: #3021 
Comment:  
2) Monitor Schedule
Indefinite monitoring until stopped by user
3) Display Configuration
Total Graph Number: 1 
Active Graph Number: 1 
Sampling Rate:   8/sec 
Time Constant: off 
Time Offset: 0.062 sec 
Total Mark Number: 0 
Active Mark Number: 1 
No: 	Hour	Min	Sec	Label	Comment	Current	Heater1	Heater2
4) Trace Data
No: 	Hour 	Min 	Sec 	F1 	F2 
1	0	0	0.000	  0.0	 30.6 
2	0	0	0.125	  0.0	 27.6 
211	0	0	26.250	  0.0	 12.6 
212	0	0	26.375	  0.0	 12.8 
213	0	0	26.500	  0.0	 12.8 
214	0	0	26.625	  0.0	 12.1 
215	0	0	26.750	  0.0	 12.2 
216	0	0	26.875	  0.0	 15.9 
217	0	0	27.000	  0.0	 14.2 
218	0	0	27.125	  0.0	 12.7 
219	0	0	27.250	  0.0	 12.0 
220	0	0	27.375	  0.0	 11.8 
221	0	0	27.500	  0.0	 12.2 
222	0	0	27.625	  0.0	 10.9 
223	0	0	27.750	  0.0	 13.7 
224	0	0	27.875	  0.0	 14.0 
225	0	0	28.000	  0.0	 13.7 
226	0	0	28.125	  0.0	 13.3 
227	0	0	28.250	  0.0	 10.9 
228	0	0	28.375	  0.0	 11.1 
229	0	0	28.500	  0.0	 11.5 
230	0	0	28.625	  0.0	 14.6 
231	0	0	28.750	  0.0	 16.3 
232	0	0	28.875	  0.0	 15.6 
233	0	0	29.000	  0.0	 13.8 
234	0	0	29.125	  0.0	 12.2 
235	0	0	29.250	  0.0	 11.5 
236	0	0	29.375	  0.0	 11.4 
237	0	0	29.500	  0.0	 12.5 
238	0	0	29.625	  0.0	 15.4 
239	0	0	29.750	  0.0	 15.5 
240	0	0	29.875	  0.0	 14.7 
241	0	0	30.000	  0.0	 13.7 
242	0	0	30.125	  0.0	 13.0 
243	0	0	30.250	  0.0	 11.5 
244	0	0	30.375	  0.0	 11.3 
245	0	0	30.500	  0.0	 12.6 
246	0	0	30.625	  0.0	 13.3 
247	0	0	30.750	  0.0	 12.0 
248	0	0	30.875	  0.0	 10.9 
249	0	0	31.000	  0.0	 10.1 
250	0	0	31.125	  0.0	 11.2 
251	0	0	31.250	  0.0	 10.6 
252	0	0	31.375	  0.0	  9.5 
253	0	0	31.500	  0.0	 11.0 
254	0	0	31.625	  0.0	 14.0 
255	0	0	31.750	  0.0	 14.1 
256	0	0	31.875	  0.0	 13.2 
257	0	0	32.000	  0.0	 11.2 
258	0	0	32.125	  0.0	 10.6 
259	0	0	32.250	  0.0	 11.2 
260	0	0	32.375	  0.0	 10.5 
261	0	0	32.500	  0.0	  9.4 
262	0	0	32.625	  0.0	 10.0 
263	0	0	32.750	  0.0	 12.3 
264	0	0	32.875	  0.0	 12.6 
265	0	0	33.000	  0.0	 11.8 
266	0	0	33.125	  0.0	 10.9 
267	0	0	33.250	  0.0	 10.4 
268	0	0	33.375	  0.0	  9.8 
269	0	0	33.500	  0.0	  9.2 
270	0	0	33.625	  0.0	  9.6 
271	0	0	33.750	  0.0	  9.8 
272	0	0	33.875	  0.0	 12.4 
273	0	0	34.000	  0.0	 13.0 
274	0	0	34.125	  0.0	 11.0 
275	0	0	34.250	  0.0	 10.7 
276	0	0	34.375	  0.0	 10.0 
277	0	0	34.500	  0.0	  9.7 
278	0	0	34.625	  0.0	  9.9 
279	0	0	34.750	  0.0	 12.4 
280	0	0	34.875	  0.0	 14.1 
281	0	0	35.000	  0.0	 12.6 
282	0	0	35.125	  0.0	 10.6 
283	0	0	35.250	  0.0	  8.9 
